id;id_hospital;nombre;num_pisos;num_camas;num_cuartos;fecha_creacion;estatus
1;Checking Account;Albania Checking Account portals;web-readiness ability e-markets;Home Loan Account orchid Communications;Checking Account Gorgeous Steel Bike;Organic visualize;ACTIVO
2;Rubber neural-net input;system optical Digitized;plug-and-play;revolutionize;Human;Iowa Generic;DESACTIVADO
3;Planner;Texas open-source;Unbranded zero defect Intelligent;Generic;Russian Ruble Cuban Peso Peso Convertible Directives;program;ACTIVO
4;Pula ivory;withdrawal olive Cambridgeshire;rich infrastructures hack;microchip;vortals;Rustic Soft Computer mint green cyan;ACTIVO
5;multi-byte;engage;black;Bedfordshire;1080p redundant;connecting SAS bus;DESACTIVADO
6;deposit optimizing Frozen;Ergonomic Cambridgeshire;Wooden;FTP navigate Prairie;infomediaries mission-critical parse;navigating transmit;DESACTIVADO
7;Personal Loan Account Unbranded Steel Bacon;overriding Small Plastic Tuna;redundant Berkshire protocol;Luxembourg Directives;payment Home Loan Account;Customer Wooden Islands;DESACTIVADO
8;Saint Pierre and Miquelon override optical;Clothing experiences Credit Card Account;cross-platform Bahrain Timor-Leste;Future-proofed Sleek Granite Gloves Home Loan Account;Bedfordshire Bedfordshire;deposit connecting;DESACTIVADO
9;cutting-edge Checking Account;payment optical;high-level deploy Chips;Personal Loan Account Credit Card Account;Global Washington;synthesizing;ACTIVO
10;Washington;GB;Checking Account Persevering;Small;ivory red Mexico;Granite cross-platform;DESACTIVADO
